benchmark_id,benchmark_text,rank,similarity,corpus_file,corpus_source,corpus_text
murder_mysteries_0,,100,0.43484875559806824,,unknown,
murder_mysteries_1,,1,0.5137124061584473,,unknown,
murder_mysteries_1,,2,0.5122659802436829,,unknown,
murder_mysteries_1,,3,0.5109441876411438,,unknown,
murder_mysteries_1,,4,0.5092102885246277,,unknown,
murder_mysteries_1,,5,0.5042186379432678,,unknown,
murder_mysteries_1,,6,0.49317455291748047,,unknown,
murder_mysteries_1,,7,0.4849502444267273,,unknown,
murder_mysteries_1,,8,0.4785307049751282,,unknown,
murder_mysteries_1,,9,0.47500160336494446,,unknown,
murder_mysteries_1,,10,0.47070664167404175,,unknown,
murder_mysteries_1,,11,0.469515323638916,,unknown,
murder_mysteries_1,,12,0.46221020817756653,,unknown,
murder_mysteries_1,,13,0.46143263578414917,,unknown,
murder_mysteries_1,,14,0.4608736038208008,,unknown,
murder_mysteries_1,,15,0.460319459438324,,unknown,
murder_mysteries_1,,16,0.46017634868621826,,unknown,
murder_mysteries_1,,17,0.46017634868621826,,unknown,
murder_mysteries_1,,18,0.46017634868621826,,unknown,
murder_mysteries_1,,19,0.46017634868621826,,unknown,
murder_mysteries_1,,20,0.4601074159145355,,unknown,
murder_mysteries_1,,21,0.4587308168411255,,unknown,
murder_mysteries_1,,22,0.4570313096046448,,unknown,
murder_mysteries_1,,23,0.457028865814209,,unknown,
murder_mysteries_1,,24,0.4559010863304138,,unknown,
murder_mysteries_1,,25,0.4556783437728882,,unknown,
murder_mysteries_1,,26,0.4555148482322693,,unknown,
murder_mysteries_1,,27,0.4540598392486572,,unknown,
murder_mysteries_1,,28,0.4540598392486572,,unknown,
murder_mysteries_1,,29,0.4533417224884033,,unknown,
murder_mysteries_1,,30,0.45254403352737427,,unknown,
murder_mysteries_1,,31,0.45168036222457886,,unknown,
murder_mysteries_1,,32,0.45100098848342896,,unknown,
murder_mysteries_1,,33,0.4506441354751587,,unknown,
murder_mysteries_1,,34,0.45046329498291016,,unknown,
murder_mysteries_1,,35,0.4488671123981476,,unknown,
murder_mysteries_1,,36,0.4484826624393463,,unknown,
murder_mysteries_1,,37,0.4464268684387207,,unknown,
murder_mysteries_1,,38,0.4464207887649536,,unknown,
murder_mysteries_1,,39,0.44638216495513916,,unknown,
murder_mysteries_1,,40,0.4452105760574341,,unknown,
murder_mysteries_1,,41,0.4452105760574341,,unknown,
murder_mysteries_1,,42,0.44445380568504333,,unknown,
murder_mysteries_1,,43,0.4430522918701172,,unknown,
murder_mysteries_1,,44,0.44208234548568726,,unknown,
murder_mysteries_1,,45,0.4419034719467163,,unknown,
murder_mysteries_1,,46,0.44134071469306946,,unknown,
murder_mysteries_1,,47,0.44099634885787964,,unknown,
murder_mysteries_1,,48,0.44068443775177,,unknown,
